date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-01-01T00:00:00Z,83781,-9999,23.4,20.3,31.8,-9999,75,923.1,1010.6,9,3.6,-9999,4,4.2,79.25,2.3,Success: (200) OK
2019-01-01T12:00:00Z,83781,0,26.3,21.8,-9999,18.7,66,926.4,1014.1,9,1.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-01-01T18:00:00Z,83781,-9999,28.7,23.7,-9999,-9999,65,924.2,1011.7,23,2.8,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-02T00:00:00Z,83781,-9999,22.8,22,32,-9999,93,926.3,1014.1,9,2.5,-9999,10,3.7,71.75,2.566667,Success: (200) OK
2019-01-02T12:00:00Z,83781,6.7,25.5,21.5,-9999,21,69,927.3,1015.3,14,1.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-01-02T18:00:00Z,83781,-9999,31.3,23.7,-9999,-9999,52,924.5,1011.5,5,4.1,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-03T00:00:00Z,83781,-9999,25.4,23.3,33.3,-9999,83,925,1012.5,14,2,-9999,0,6.3,69.75,3.066667,Success: (200) OK
2019-01-03T12:00:00Z,83781,0,27,22.3,-9999,20.6,66,924.6,1012,36,3.3,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-03T18:00:00Z,83781,-9999,32.4,22.8,-9999,-9999,43,922.3,1008.8,36,2.3,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-01-04T00:00:00Z,83781,-9999,21.7,20.9,29.4,-9999,85,924.5,1012,27,3.6,-9999,10,6.5,86.75,1.266667,Success: (200) OK
2019-01-04T12:00:00Z,83781,37.8,24.7,21.3,-9999,20.7,73,925.5,1013.4,27,1.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-04T18:00:00Z,83781,-9999,22.6,21.9,-9999,-9999,94,927.7,1010.8,0,0,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-05T00:00:00Z,83781,-9999,22.4,21.2,24.7,-9999,90,925.2,1013.1,36,2.5,-9999,10,2,83.75,1.633333,Success: (200) OK
2019-01-05T12:00:00Z,83781,25.6,21,19.8,-9999,20.3,89,926.1,1014.5,14,3.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-05T18:00:00Z,83781,-9999,24,21.3,-9999,-9999,78,924.2,1012.1,14,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-06T00:00:00Z,83781,-9999,23,21,29.6,-9999,84,924.7,1012.9,0,0,-9999,10,3.7,80,2,Success: (200) OK
2019-01-06T12:00:00Z,83781,22.1,24.7,21.1,-9999,20.1,72,926.1,1014,27,1.6,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-06T18:00:00Z,83781,-9999,28.4,22.3,-9999,-9999,58,923.8,1011.3,32,2.8,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-01-07T00:00:00Z,83781,-9999,22.3,21.7,33.5,-9999,95,924.9,1012.8,9,1.6,-9999,8,3.3,57.75,2.166667,Success: (200) OK
2019-01-07T12:00:00Z,83781,15,26,22.7,-9999,20.6,75,925,1012.7,14,1.6,-9999,2,-9999,-9999,-9999,Success: (200) OK
